Kalimpong,School Contacts,Mail IDs,POC@NEXIS,,,,,
Dr. Graham Homes,Neil monteiro principal - 7431037852/ Jena ma'am headmistress 9434075082,headmaster.dgh@gmail.com/ homesprincipal@gmail.com/bursar.dgh@gmail.com,Ritesh,"18/3/ said they already have a session booked on the same topic in a week, gave multiple options said she'll look into what she can do",,,,
Satpashri gyanpeeth,Arun Agarwal - 7001804230 / Tapan Sir-,info@saptashrikalimpong.com/ sgp_kpg@rediffmail.com,Aman,,,,,
St. Augustine kpg,"Fr. Victor 8902791383, Gyanendra Dulal",principal@saskalimpong.com,Aman,,,,,
St. Joseph Convent Kalimpong,,,,,,,,
Narayana School,Pratap Thapa principal - 9851371231/ Ashish Sharma,,,,,,,
Darjeeling,,,,,,,,
North Point,Fr. Stanley 9002173106/ Fr. Prefect - 9002173106,rector@sjcnorthpoint.com,ritesh,18/3/ Asked to be contacted in April,,,,
Vidya Vikash Academy,derek pradhan - 9775421669,vvadarjeeling@gmail.com,,"DNR, attempted again DNR",,,,
RKSP,,,diya,,,,,
Loreto,Sr. Punitha - 7044940681,,Moira,24thDid not recieve,,,,
St. Paul's,Rectors office 0354 - 2252334 / Bursar 2256471 / Sr. Master 2256457,info@stpaulsdarjeeling.edu.in,,24th Did not recieve,,,,
Narayana,Sangeetanjali - 8116966647,,,,,,,
Notre Dame Academy,Sr. Mary Jessy 8986274717/7384245547,info@ndadarjeeling.com/ academynotredame@gmail.com,Moira,20th DNR/ 23rd asked to be mailed in the official maid ID of the school / Mail sent,,,,
Mount Hermon,Partha - 9547078819,mhsdarj@gmail.com,Moira,23rd Did not receive/ mail sent,,,,
Kurseong,,,,,,,,
St Augustine kurseong,"Srijana ma'am principal- 7557015641
",augustinekurseong@gmail.com,Moira,"19th DNR msg dropped, ",,,,
Goethals memorial school,Academics - 9830691119,goethalsmemorial@gmail.com,Moira,"A mail was sent prior to the call so he said the principal shall review since he goes through the mails everyday,Did not recieve / no. Switched off mail sent",,,,
Himali Boarding,"Robbie Subba Director - 9733004589/ Oma Bhutia principal - 8436511984 , Nilima Subba reception 9832620925",himalischool@gmail.com,Moira,19th DNR msg dropped / mail sent /24th spoke to Nilima ma'am said the principal may have seen it and if she's interested she may get back.,,,,
St Anthony,Anthony Rosario school coordinator 9674354527,principal@anthonyskurseong.org/ anthonyschool_ku@gmail.com,Moira,Call on 2nd week of April ,,,,
St Alphonous,Kevin principal - 8116289134/ minerva ma'am 9647810646,stalpha1891@gmail.com/kevinmoktan@gmail.com,Moira,Not reachable ,,,,
St. Joseph's Kurseong,Sr. Rose :  office no - 9679757560,stjosephsschool@yahoo.in,,,,,,
St. Helens,School ph 0354-2344358/ Mobile 8116848298,fcsthelens1@gmail.com,Moira,Mail sent,,,,
Mirik,,,,,,,,
Don Bosco  Mirik ,Md. Imdadullah -6295019530 / office- 8967095638,donboscomirik@gmail.com,Moira,,,,,
Orange Lake,Samdan Sherpa 9593958447,principal.orangelake@gmail.com/ orangelakeschool@gmail.com,Moira,"23rd/ 24th  did not receive, mail / msg dropped",,,,
Glenmore international school,Sreejana Gurung,glenmoreschool@gmail.com/ sreejanagurung95@gmail.com,Ritesh,Ritesh sir texted - 18th No response ,,,,
Gangtok,,,,,,,,
TNA,3592202527/ 03592 451512,tna.admin@tashinamgyalacademy.com/ tashinamgyalacademy1926@gmail.com/ tnadirector@tashinamgyalacademy.com,,,,,,
Holy Cross,3592295750,hctadong@gmail.com/ holycrosstadong.com,,,,,,
PNG,3592202528/ Ivan Lepcha principal 9735918752,idlepcha@gmail.com/office@pngschool.in,Moira,Did not recieve Mail sent,,,,
Taktshe international,Malisha ma'am ,,Moira,No. Of students too less so may go only when we have 2-3 schools,,,,
Bahai,3592232066/270037,bahaischooltadong9@gmail.com,,,,,,
,,,,,,,,
,,,,,,,,
Doars,,,,,,,,
,,,,,,,,
DBS Oodlabri,Ganesh Sir,,,,,,,
Caeser Malbazar,Anand Sir,,,,,,,
SHMD Jaigaon,,,,,,,,
Holy Child Jalpaiguri,,,,,,,,
St James Binnaguri,Chirag principal contact,,,,,,,
Bal Mandir Kishanganj,Ankita Maam Principal,Aman,,,,,,
APS Binnaguri,Chirag,,,,,,,
Himalayan International residential,Panigari,Aman,,,,,,
St Xaviers Malda,,,,,,,,
Gd Goenka,,,,,,,,
DPS Ethelbari,,Aman,,,,,,
Sunshine,,Aman,,,,,,
,,,,,,,,
,,,,,,,,
DAGAPUR / DHUKURIA / NEW CHUMTA,,,,,,,Moira,
Mahbert Siliguri,Jagmohan/ Priyanka Maam,Aman/Ritesh,Reached out,Tuesday,team 1,,Surojeet,Cant go on Monday
Delhi Public School Siliguri,Gunjan Maam,Aman/Ritesh,,Tuesday,,,Vallusha,
G.D. Goenka Public School,Sanjay Uncle Owner,Aman,,Tuesday,,,-,
Sri Sri Academy,Jayesh,Ritesh,,Tuesday,,,,
Campion International School,,,,,,,,
SUKNA,,,,,,,,
Techno India ,Direct visit done,,Direct visit done,Thursday,Team 1,,,
Army Public School Bengdubi																										,,Ritesh,Msg,Thursday,,,,
APS Sukna,,Ritesh,Msg,Thursday,,,,
MATIGARA / UTTORAYON / MEDICAL SIDE,,,,,,,,
Birla Divya Jyoti School (CBSE),,Ritesh,MUN,Not going because mun mei aarha hai,Team 2,,,
Modi Public School (CBSE),Anand Uncle,Aman,,Thursday,,,,
St Joseph's High School,Suruchi/Anindita,Direct school visit,Direct visit done,Thursday,,,,
Sacred Heart School,Achintya owner,Aman,,Thursday,,,,
Royal Academy,,Ritesh,Reached out,Thursday,,,,
SEVOKE ROAD / SALUGARA,,,,,,,,
Narayana School - Siliguri (CBSE),Direct visit done,Ritesh,Reached out,Wednesday,team 2,,,
Don Bosco School,Direct visit done,,,Wednesday,,,,
Nirmala Convent School,,,,Wednesday,,,,
St Xavier's School,,,,Wednesday,,,,
Himalayan English School,Direct visit done,,,Wednesday,,,,
Auxilium Convent School,Direct visit done,,,Wednesday,,,,
St Michael's School,,,,Wednesday,,,,
CHAMPASARI / KOLABARI,,,,,,,,
Doon Heritage School,"Shibham
+91 70630 80445",Ritesh,Reached out,Tuesday,Team 1 ,,,
,,,,,,,,
RANIDANGA / BAGDOGRA SIDE/ FULBARI,,,,,,,,
DPS Fulbari,"Snigdha Maam
+91 97334 53311",Ritesh,Reached out,Not going because mun mei aarha hai,Team 2,,,
DAV,"Ashish Agarwal
Coordinator
+91 98320 50550",Ritesh,Reached out,Tuesday,,,,
Darjeeling Public School,Tanisha,Aman,,Tuesday,,,,
Hebron ,"Monshir Sir
+91 83484 12187",,,Tuesday,,,,
North Point Residential School,,,,Tuesday,,,,
BSF Senior Secondary School Kadamtala,,Ritesh,,Tuesday,,,,
siliguri model high school,SS Agarwal owner,Aman,,Tuesday,,,,
Thana More,,,,,,,,
St.Josephs Bhaktinagar,"Lalita Bishnui
+91 99330 51907",Ritesh,,Not going because mun mei aarha hai,,,,
,,,,,,,,
PURNEA,,,,,,,,
GD Goenka Purnea,"Principal GDG Purnea
+91 91762 56502",Ritesh,,,,,,
