School Name,Emailid,Phone number,Physical Meet up,Comments,Email,1st Call,2nd call 11/10/25,3rd Call 13th oct,Status,New Mail & Msg,Status,4th Call 15th oct,5th Call 16th oct,6th Call 22nd oct,7h Call 23rd oct, 25th oct,
St Xaviers School,stxaviersschool_slg@yahoo.co.in,"98320 12123, 9064517438",22/09/2025,"Could on,y deliver it till the reception",Sent,"Told her about the event, and asked her to revert back to the mail by 10th oct that we shall be sending today. She said if interested they shall get in touch.","Informed them about the date shift and the confirmation to be made by 15th, however no positive response, she hung up saying she shall talk later.",,,Sent,,,,,,,
Auxilium Convent School,acssiliguri@gmail.com, Vivek   Sir 8927041641,22/09/2025,"Did not let us enter, we met the receptionist said he would forward it to the concerned person",Sent,Did not recieve,Called from sanskars no. He did not recieve,,,Sent,,,,,,,
Himalayan English School,hesslg@yahoo.co.in,8116307334 Miss Banerjee,22/09/2025,"As per 25th, may not be feasible for them, however the administrator shall try ",sent,"Not feasible to come for the competition, but can schedule a workshop for us at their school. Shes asked to call on Wednesday","Coordinated with ma'am,informed her a mail has been sent to lock the date for 7th of nov to conduct a workshop. She shall get back to me, however they have confirmed the date ",,,,,,,,,,
Don Bosco School ,dbschoolslg@gmail.com,Debyajoti Paul Sir: 83487 33109/ Sachin sir DBS 9933531100,24/09/2025,Spoke to DJ sir said he would connect with us once the school commences ,Sent,"spoke to him, we've informed him about the mail, he's already told the students regarding the fest and shall remind them again, of not possible by today we've asked them to atleast revert by 15th for the confirmation",Did not recieve/ we have dropped a text informing the change of dates ,Try through students,,Sent,,,did not receive,,,,
Mahbert English HIgh School,mahbert.high.school@gmail.com,8145402299 office no./ Priyanka ma'am HoD 9775687234,24/09/2025,"Met school cordinator, said he shall discuss it with the principal and get back to us, softcopies needs to be sent",Sent,Soft confirmation to ritesh by priyanka maam,No. Switched off/ did not recieve,Did not recieve,,Sent,,"Priyanka maam said they have unit test
on 1st nov , principal wont allow

",,,,,
DPS Siliguri,info@dpssiliguri.com,Teacher 9732568425/ (Amlan sir HoD - 9434462607),23/09/2025,"Recieved confirmation by Aryan through a teacher, mail has been sent along with details have been shared via whatsapp by Aryan",Sent,Has confirmed and shall register by 10th.,Did not receive,Did not recieve,,Sent,,"Spoke to Amlan Sir, he was under the 
assumption that the participation list has 
been sent; said he will confirm with his team.
told him that the last day is tomorrow",Recieved lead sheet,,,"brochure sent to amlan sir
wants to add more participants","will send numbers of
students"
St. Joseph's Bhaktinagar ,sjsschoolnjp@yahoo.in,Office: 7602176991/ Amit Gupta 9832015102,23/09/2025,"Delivered it to the reception shall forward it to the principal, got the mail Id",Sent, No. Can't be reached right now,"Spoke to the front desk, I've asked her to convey this message to the concerned person that the dates have been shifted to 1st of Nov and that they can revert back to us by 15th if oct.","Had a word with amit sir
He said he will check with the school",Ritesh sir coordinating,Sent,,,,,,,
Nirmala Convent School,nirmalascslg@gmail.com,Madhu di 9832049728/ Nisha maam 8250823884,23/09/2025,Met sister got positive response shall send the students,sent ,Did not recieve,Informed Nisha ma'am to convey it to the concerned person about the change of date and to revert back by 15th of oct,"Spoke to the front office, told her about the mail, shall get in touch again",,"mail due (invalid mail id)
msg sent",,,"Contacted edward sir by madhu maam, did 
not receive",,,,
Hebron School,info@hebronschool.info, Principle Jemima Phillipos - 97322 84807/ Munshi sir 8348412187,24/09/2025,"Delivered it at the reception,shall forward ahead, got principals no. ",Mail sent,The school just  reopened and she wants to go through the content and if the school is interested they shall revert back. ,"Informed her about the change of date and she just said ok, dicey the students may participate ",,,Sent,,,,,,,
North Point School,info@nprs.co.in,Office no. 97355 27777,24/09/2025,Chaat Puja Chutti Theyve so they migh not come but inviduals might come,sent,"Hung up in between the conversation, called her again did not recieve",Did not recieve,,,,,,,,,,
Army Public School Bengdubi,apsbengdubi@gmail.com,7384602029 - Head of Adminstrator (Gautam Sengupta)/ 9749338964 Naushad sir,24/09/2025,"Positive response, shall send students, met the administrator ",Mail sent,Did not recieve,Did not recieve / did not recieve,Did not recieve,,Sent,,,"Gautam and naushad sir did not receive
naushad sir said  he has not been informed by the authority
if they are participating, also he said inspection
is going on since 2 days so they were busy.
he will talk to the concderned person 
and let me know by tomorrow",,,,
Modi Public School,mpss_principal@yahoo.com,Principle: 9564777797,24/09/2025,"Met the coordinator, shall forward it to the principal, shall revert back",Mail sent,Shall go through the content and if interested the mail will be reverted ,Informed ma'am about the change of dates to 1st nov and to revert back by 15th,Aryan,,"mail sent 
msg not sent (no whatsapp)",,,,,,,
St. Joseph’s School Matigara,sjhsmatigara@gmail.com,7319148368/ Suruchi 8145594468/ Anindita 9832035882,24/09/2025,Delivered at the reception shall forward it to the principal ,sent,"She said she shall go through the content, informed her about the mail, I've asked her to revert back the mail by 10th of oct.",Did Not recieve,,,Sent,,,"Suruchi maam said she is in class, so
connect with her around 5-6pm.
Anindita maam said she is out for counselling 
work, asked me to drop a text and missed call
sometime later
Suruchi maam said if they wanted to participate sister would
have informed them and they would be preparing
the students by now. also busy with concert. 
1st nov is school day most probably, so sister wont send",,,,
Narayana School,wbsiliguri.etechno@narayanagroup.com,Saikat Sarkar 8617318673/ Rumi ma'am 8972069930/ Bishnu Singhal 9832590737,,Had been delivered by moira  and Ritesh sir,sent,Did not recieve,,Approach on 15th Nov for BIZNEX,,Sent,,,"Saikat sir wanted to send it after diwali
Ritesh sir told him that the slots may be filled,
he said he will try","he said he is very very busy, asked me to call tomorrow","saikat sir said he will go to school and then 
submit the names, he told to book the
seats, there will be 20-30 students
for bgmi and other events.
by next wednesday he will send names, i.e. after 
chhath puja",brochure and msg sent to saikat sir,
Sacred Heart School,principal@sacredheartsiliguri.com,Das sir 9531560907,25/9 25,Shall not join due to one month clubbed vacation,,Invalid no.,,,,,,,,,,,
Birla Divya Jyoti School,info@birladivyajyoti.com,Suzuki ma'am 7407560696/ Sunita ma'am 9832510575,25/09/25,"Positive response, met Suzuki ma'am said shall send her students",Mail sent,"Spoke to Suzuki ma'am, she shall go through the mail and revert back","The principal wasn't in the school so ma'am needs to talk to principal, she shall do it today so informed her regarding the change of dates, And have asked her to confirm by 15th, details regarding the event shall be sent on whatsapp too, many people  showing interest from BGMI",,,Sent,,,Recieved lead sheet,,,"brochure sent to suzuki maam
phone numbers on wednesday","call not received
msg sent"
Sri Sri Academy,admission@srisriacademy.in,Rohan sir 8509372429/ Gargi 9474686801/ Balkrishna - 9832496024,25/09/25,"Met Rohan sir, positive response shall send the students",Mail sent ,Did not recieve,Called Gargi ma'am shall revert us tomorrow with the details and informed her on the change of date,,,Sent,,"Did not receive
msg dropped","Spoke to bal krishna sir, he will submit thr names 
by tomorrow, class 12 wont participate due to boards,
class 11 commerece wwas told, if they submit names he will
send","Sir asked if gargi maam or someone sent the list.
he said he is a guest faculty there so he will
confirm and inform me",Not picking up the call - gargi maam,"brochure and msg sent to gargi maam
and bal krishna sir","1st said 1 team each
now not responding"
Darjeeling Public School,schooldarjeelingpublic@gmail.com,Shreya ma'am principal - 9641622727/ Prerna shah coordinator- 6294746658,25/09/2025,"Very positive response, shes asked us to follow up after pujas to remind her about he event. Soft copy along with the renewed dates need to be sent",Mail sent,"School shall open tomorrow, I've told her that details have been shared via mail and for confirmation can be reverted by 10th if not by then at least by 15th","She was in a meeting so she wanted to talk later, if she does not call I shall leave her a message regarding the change of dates",,,Sent,,"Prerna shahs phone switched off
Principal did not pick up so msg dropped to her","Busy with lots of program, sat is alumini meet
forgot to ask principal, principal did not say anything
she will ask and confirm by today- Prerna maam","she said the principal is not interested to send the 
students",,,
G. D. Goenka Public School,info@gdgoenkaschool.In / casumanagarwal16@gmail.com,CA Suman Agarwal - 9932719342/ Anirban sir 9679931804,25/0925,Interested and shall send around 20 - 30 students.,Mail sent,"Informed maam that a mail has been sent and for confirmation it has to be reverted back by at least 12th, her concern was that the boarders shall not be in the campus since the school is reopening only after chaat puja, she shall look into it and revert back ",Could not inform her about the change the changes because the no is temporarily out of service.,No. Temporarily out of service,,Sent,"Confirmed over msg
""Ok Thank you""",,"Suman maam and anirban sir not reachable
and phone switched off respectively",,,"msg for reshufling students from class 12, and 
detailed brochure sent- ca suman maam
she replid she will get back on 29th.",
Techno India Group School,info@tigps.in,8597285542,25/09/25,"Met the principal, said shall see, might not send.",sent.,"Spoke to the office staff, informed her about the mail and asked her to convey it to the principal too, for confirmation",She could not understand so shes asked to send a mail.,,,"Mail Sent
Msg not sent (no whatsapp)",,,,,,,
Doon Heritage School,dhsslg@gmail.com,9832089084 VP/ Aakash Karmakar 7577010593,25/09/25,Met the VP shall send class 11 students/ students may come individually,sent,"Spoke to the coordinator, she said the school remains closed on 25th",Did not recieve,Spoke to the event coordinator shall revert back by 15th,,Sent,,,Recieved lead sheet,,,brochure sent to VP and Aakash sir,
